customer_id,age,plan_type,monthly_bill,signup_date,customer_segment,has_autopay,satisfaction_score,total_lifetime_value
CUST000001,54,Premium,83.85306865442544,2023-04-11,Power User,FALSE,8,602.3790909443051
CUST000002,18,Premium,79.95178196579218,2021-06-21,Social Connector,FALSE,6,1215.2111675823107
CUST000003,42,Standard,61.36625999584794,2023-02-05,Budget Conscious,FALSE,7,376.33407178800553
CUST000004,27,Standard,64.48622229974717,2020-06-12,Social Connector,TRUE,6,2416.870190692134
CUST000005,53,Standard,57.123353416100144,2021-04-26,Business User,TRUE,7,358.9948663022369
CUST000006,35,Unlimited,116.36029340326786,2022-03-02,Budget Conscious,FALSE,6,1021.1764191277325
CUST000007,64,Basic,34.09314791439101,2020-02-27,Business User,TRUE,7,1031.3761887140572
CUST000008,41,Premium,88.69168070144951,2022-01-02,Social Connector,TRUE,9,1600.8002168964595
CUST000009,24,Premium,83.33502001129091,2023-09-14,Budget Conscious,TRUE,7,1192.1953389421105
CUST000010,53,Standard,57.07093925680965,2020-06-24,Business User,TRUE,7,1173.8168222131208
CUST000011,42,Premium,83.74379208311439,2022-04-18,Power User,TRUE,6,2193.2845232309774
CUST000012,54,Standard,60.09127194061875,2020-05-22,Power User,TRUE,7,517.031875718385
CUST000013,63,Standard,49.27440057042986,2021-06-17,Budget Conscious,TRUE,7,1003.8790000602603
CUST000014,37,Premium,84.70453346148133,2020-11-10,Social Connector,TRUE,8,1131.003688951023
CUST000015,43,Basic,33.23785044485703,2022-12-08,Power User,TRUE,10,837.1421018382534
CUST000016,64,Basic,32.07116206875071,2023-06-17,Power User,TRUE,5,419.48128272779286
CUST000017,20,Standard,51.145005859434605,2022-12-11,Social Connector,TRUE,8,2443.195609585382
CUST000018,58,Standard,56.261181216686964,2021-11-19,Business User,TRUE,10,1270.1092001283541
CUST000019,42,Unlimited,110.0265441800002,2023-01-03,Business User,TRUE,9,2166.163049801253
CUST000020,44,Standard,63.396560600958765,2020-03-21,Social Connector,TRUE,7,2391.26141120214
CUST000021,53,Standard,49.57762169651687,2022-11-29,Power User,TRUE,7,232.84304840490222
CUST000022,54,Premium,93.35971869528294,2021-04-26,Power User,TRUE,7,212.8076317254454
CUST000023,48,Unlimited,99.76431344286539,2023-07-26,Power User,TRUE,8,2044.7378798155114
CUST000024,62,Basic,30.831411038525403,2022-02-16,Budget Conscious,FALSE,10,732.8418785240501
CUST000025,22,Basic,34.53589341137558,2022-12-27,Budget Conscious,FALSE,9,1089.7098754998296
CUST000026,37,Premium,79.98014094308019,2023-09-04,Social Connector,TRUE,9,683.3028375171125
CUST000027,51,Premium,85.79814018681645,2020-11-23,Social Connector,TRUE,10,2374.7663667658344
CUST000028,45,Standard,48.91068959608674,2023-04-19,Social Connector,TRUE,10,358.8081161258742
CUST000029,57,Standard,59.08414205536246,2020-08-10,Social Connector,TRUE,10,1540.7945898128673
CUST000030,20,Premium,82.12157282978296,2023-03-14,Business User,FALSE,6,2247.0498729264364
CUST000031,50,Basic,34.20758760999888,2022-08-27,Business User,TRUE,10,2144.8193622753024
CUST000032,59,Standard,55.457416363060474,2023-06-20,Business User,TRUE,9,2417.089903145097
CUST000033,41,Premium,82.01581000816077,2020-05-28,Power User,TRUE,8,666.9000936672091
CUST000034,47,Standard,49.58108736667782,2023-08-09,Social Connector,TRUE,8,2065.896647539921
