ticket_id,customer_id,issue_type,created_date,resolution_time_hours,ai_preventable,potential_savings
TKT000001,CUST001780,Account Security,2024-09-02,2.25,FALSE,0
TKT000002,CUST002880,Plan Optimization,2024-10-16,11,TRUE,15
TKT000003,CUST004478,Network Issue,2024-09-25,0.5,FALSE,0
TKT000004,CUST001413,Roaming Charges,2024-12-15,0.25,TRUE,45
TKT000005,CUST003417,Plan Optimization,2023-01-11,11,TRUE,15
TKT000006,CUST001444,Overage Surprise,2025-03-13,7.25,TRUE,35
TKT000007,CUST002683,Feature Confusion,2023-01-04,3.25,FALSE,0
TKT000008,CUST000010,Plan Optimization,2023-12-31,22,TRUE,15
TKT000009,CUST003369,Network Issue,2024-08-23,3.5,FALSE,0
TKT000010,CUST001277,Billing Error,2024-03-27,8,TRUE,25
TKT000011,CUST003531,Roaming Charges,2025-01-02,6.25,TRUE,45
TKT000012,CUST000214,Service Outage,2024-05-12,0.5,FALSE,0
TKT000013,CUST002518,Feature Confusion,2025-01-01,3.25,FALSE,0
TKT000014,CUST003855,Plan Optimization,2025-04-08,8,TRUE,15
TKT000015,CUST004149,Feature Confusion,2024-12-09,5.25,FALSE,0
TKT000016,CUST004970,Overage Surprise,2023-10-12,6.25,TRUE,35
TKT000017,CUST002216,Overage Surprise,2023-02-05,2.25,TRUE,35
TKT000018,CUST003893,Billing Error,2023-05-03,15,TRUE,25
TKT000019,CUST003378,Service Outage,2025-03-31,3.5,FALSE,0
TKT000020,CUST001593,Account Security,2024-12-16,0.25,FALSE,0
TKT000021,CUST002319,Billing Error,2024-03-15,18,TRUE,25
TKT000022,CUST000523,Service Outage,2025-02-02,2.5,FALSE,0
TKT000023,CUST002669,Payment Failure,2025-03-18,0.25,TRUE,10
TKT000024,CUST001310,Service Outage,2023-05-12,0.5,FALSE,0
TKT000025,CUST001383,Plan Optimization,2023-07-31,6,TRUE,15
TKT000026,CUST004084,Account Security,2024-01-04,3.25,FALSE,0
TKT000027,CUST000015,Overage Surprise,2024-11-16,3.25,TRUE,35
TKT000028,CUST002477,Overage Surprise,2025-06-02,1.25,TRUE,35
TKT000029,CUST000303,Roaming Charges,2024-10-14,0.25,TRUE,45
TKT000030,CUST000598,Network Issue,2024-09-03,0.5,FALSE,0
TKT000031,CUST003929,Plan Optimization,2024-09-13,13,TRUE,15
TKT000032,CUST002931,Service Outage,2025-07-21,0.5,FALSE,0
TKT000033,CUST000992,Overage Surprise,2024-05-29,1.25,TRUE,35
TKT000034,CUST003043,Network Issue,2023-03-05,1.5,FALSE,0
TKT000035,CUST000700,Network Issue,2024-02-07,0.5,FALSE,0
TKT000036,CUST002844,Network Issue,2023-05-10,1.5,FALSE,0
TKT000037,CUST004752,Network Issue,2025-03-05,3.5,FALSE,0
TKT000038,CUST003644,Service Outage,2023-11-11,2.5,FALSE,0
TKT000039,CUST002374,Account Security,2024-04-27,0.25,FALSE,0
TKT000040,CUST003228,Network Issue,2025-07-10,2.5,FALSE,0
TKT000041,CUST001181,Overage Surprise,2024-09-22,4.25,TRUE,35
TKT000042,CUST001386,Roaming Charges,2023-10-27,3.25,TRUE,45
TKT000043,CUST003605,Roaming Charges,2024-01-04,6.25,TRUE,45
TKT000044,CUST003270,Overage Surprise,2024-10-18,7.25,TRUE,35
TKT000045,CUST002248,Billing Error,2023-08-21,24,TRUE,25
TKT000046,CUST002412,Account Security,2023-03-31,6.25,FALSE,0
TKT000047,CUST003481,Payment Failure,2023-03-13,1.25,TRUE,10
TKT000048,CUST002578,Account Security,2023-10-13,4.25,FALSE,0
TKT000049,CUST000472,Plan Optimization,2025-03-17,5,TRUE,15
TKT000050,CUST000366,Plan Optimization,2024-09-03,1,TRUE,15
TKT000051,CUST004063,Roaming Charges,2024-02-17,6.25,TRUE,45
TKT000052,CUST000532,Plan Optimization,2024-12-07,13,TRUE,15
TKT000053,CUST001345,Roaming Charges,2023-06-29,2.25,TRUE,45
TKT000054,CUST003422,Account Security,2024-07-20,1.25,FALSE,0
TKT000055,CUST004729,Feature Confusion,2023-05-13,6.25,FALSE,0
TKT000056,CUST003622,Payment Failure,2024-07-12,5.25,TRUE,10
TKT000057,CUST001712,Roaming Charges,2024-10-18,4.25,TRUE,45
TKT000058,CUST002725,Account Security,2024-03-23,5.25,FALSE,0
TKT000059,CUST002710,Payment Failure,2025-01-21,5.25,TRUE,10
TKT000060,CUST004655,Service Outage,2024-06-21,0.5,FALSE,0
TKT000061,CUST000992,Billing Error,2024-10-13,6,TRUE,25
TKT000062,CUST001541,Overage Surprise,2025-02-21,1.25,TRUE,35
TKT000063,CUST002498,Overage Surprise,2024-03-12,1.25,TRUE,35
TKT000064,CUST000524,Roaming Charges,2023-07-18,1.25,TRUE,45
TKT000065,CUST003616,Service Outage,2024-03-10,1.5,FALSE,0
TKT000066,CUST001230,Feature Confusion,2023-07-06,1.25,FALSE,0
TKT000067,CUST002728,Network Issue,2023-03-09,0.5,FALSE,0
TKT000068,CUST003767,Account Security,2025-07-08,2.25,FALSE,0
TKT000069,CUST004962,Feature Confusion,2025-08-08,0.25,FALSE,0
TKT000070,CUST000319,Account Security,2025-04-29,0.25,FALSE,0
TKT000071,CUST004790,Roaming Charges,2023-08-15,0.25,TRUE,45
TKT000072,CUST002945,Feature Confusion,2025-01-02,4.25,FALSE,0
TKT000073,CUST004121,Account Security,2024-06-25,7.25,FALSE,0
TKT000074,CUST003229,Network Issue,2023-01-06,3.5,FALSE,0
TKT000075,CUST000598,Billing Error,2025-02-11,20,TRUE,25
TKT000076,CUST001676,Service Outage,2025-06-23,3.5,FALSE,0
TKT000077,CUST004712,Payment Failure,2023-05-17,1.25,TRUE,10
TKT000078,CUST000960,Roaming Charges,2024-04-19,3.25,TRUE,45
TKT000079,CUST001685,Payment Failure,2025-01-24,6.25,TRUE,10
TKT000080,CUST002780,Account Security,2024-11-25,7.25,FALSE,0
TKT000081,CUST004202,Overage Surprise,2023-11-15,2.25,TRUE,35
TKT000082,CUST003417,Overage Surprise,2023-02-19,0.25,TRUE,35
TKT000083,CUST003199,Billing Error,2025-05-29,2,TRUE,25
TKT000084,CUST000450,Payment Failure,2025-08-06,5.25,TRUE,10
TKT000085,CUST003587,Account Security,2024-03-16,7.25,FALSE,0
TKT000086,CUST000103,Payment Failure,2023-05-03,0.25,TRUE,10
TKT000087,CUST001926,Network Issue,2024-01-25,1.5,FALSE,0
TKT000088,CUST000212,Billing Error,2024-01-07,15,TRUE,25
TKT000089,CUST001180,Network Issue,2023-05-17,1.5,FALSE,0
TKT000090,CUST000184,Network Issue,2023-10-09,2.5,FALSE,0
TKT000091,CUST003737,Plan Optimization,2023-12-24,9,TRUE,15
TKT000092,CUST002763,Account Security,2023-04-30,3.25,FALSE,0
TKT000093,CUST001883,Network Issue,2023-08-26,1.5,FALSE,0
TKT000094,CUST001258,Feature Confusion,2025-04-15,6.25,FALSE,0
TKT000095,CUST001025,Roaming Charges,2025-04-22,7.25,TRUE,45
TKT000096,CUST001563,Roaming Charges,2023-09-26,1.25,TRUE,45
TKT000097,CUST003239,Account Security,2024-08-28,7.25,FALSE,0
TKT000098,CUST001674,Billing Error,2024-04-24,1,TRUE,25
TKT000099,CUST004565,Plan Optimization,2023-01-14,2,TRUE,15
TKT000100,CUST002293,Account Security,2024-09-04,4.25,FALSE,0
TKT000101,CUST000388,Network Issue,2023-06-01,1.5,FALSE,0
TKT000102,CUST004588,Plan Optimization,2024-10-15,2,TRUE,15
TKT000103,CUST004406,Feature Confusion,2024-10-16,2.25,FALSE,0
